advisory_id,severity,package,title,installed_versions,vulnerable_versions,patched_versions,dependency_paths,url
GHSA-h67p-54hq-rp68,moderate,js-yaml,JS-YAML: Quadratic-complexity DoS in merge key handling via repeated aliases,4.1.1,>=4.0.0 <=4.1.1,>=4.2.0,.>@eslint/eslintrc>js-yaml; .>eslint-config-next>@next/eslint-plugin-next>@eslint-community/eslint-utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-import-resolver-typescript>eslint-plugin-import>@typescript-eslint/parser>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-import-resolver-typescript>eslint-plugin-import>eslint-module-utils>@typescript-eslint/parser>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-import-resolver-typescript>eslint-plugin-import>eslint-module-utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-import-resolver-typescript>eslint-plugin-import>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-import-resolver-typescript>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-plugin-import>@typescript-eslint/parser>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-plugin-import>eslint-module-utils>@typescript-eslint/parser>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-plugin-import>eslint-module-utils>eslint-import-resolver-typescript>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-plugin-import>eslint-module-utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-plugin-import>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-plugin-jsx-a11y>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-plugin-react-hooks>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint-plugin-react>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/eslint-plugin>@typescript-eslint/parser>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/eslint-plugin>@typescript-eslint/type-utils>@typescript-eslint/utils>@eslint-community/eslint-utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/eslint-plugin>@typescript-eslint/type-utils>@typescript-eslint/utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/eslint-plugin>@typescript-eslint/type-utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/eslint-plugin>@typescript-eslint/utils>@eslint-community/eslint-utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/eslint-plugin>@typescript-eslint/utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/eslint-plugin>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/parser>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/utils>@eslint-community/eslint-utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>@typescript-eslint/utils>eslint>@eslint/eslintrc>js-yaml; .>eslint-config-next>typescript-eslint>eslint>@eslint/eslintrc>js-yaml; .>eslint>@eslint/eslintrc>js-yaml,https://github.com/advisories/GHSA-h67p-54hq-rp68
GHSA-cjhr-43r9-cfmw,moderate,pnpm,pnpm binds unscoped user-level npm auth credentials to a repository-selected registry,11.2.2,>=11.0.0 <11.4.0,>=11.4.0,.>pnpm,https://github.com/advisories/GHSA-cjhr-43r9-cfmw
GHSA-p4xf-rf54-rj3x,moderate,pnpm,pnpm: Git Fetch Argument Injection via Lockfile resolution.commit,11.2.2,>=11.0.0 <11.4.0,>=11.4.0,.>pnpm,https://github.com/advisories/GHSA-p4xf-rf54-rj3x
GHSA-q6j5-fjx5-2mc3,moderate,pnpm,pnpm Has an Integrity Check Bypass via Missing Lockfile Integrity Field,11.2.2,>=11.0.0 <11.4.0,>=11.4.0,.>pnpm,https://github.com/advisories/GHSA-q6j5-fjx5-2mc3
GHSA-54hh-g5mx-jqcp,moderate,pnpm,pnpm: Unsafe default behavior breaks integrity check,11.2.2,>=11.0.0 <11.4.0,>=11.4.0,.>pnpm,https://github.com/advisories/GHSA-54hh-g5mx-jqcp
GHSA-3qhv-2rgh-x77r,moderate,pnpm,pnpm: Repository config can expand victim environment secrets into registry requests before scripts run,11.2.2,>=11.0.0 <11.5.3,>=11.5.3,.>pnpm,https://github.com/advisories/GHSA-3qhv-2rgh-x77r
GHSA-4gxm-v5v7-fqc4,moderate,pnpm,pnpm: Reserved bin name deletes PNPM_HOME during global remove,11.2.2,>=11.0.0 <11.5.3,>=11.5.3,.>pnpm,https://github.com/advisories/GHSA-4gxm-v5v7-fqc4
GHSA-fxqj-rqcc-2cmp,moderate,postcss,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,8.5.15,<=8.5.22,>=8.5.23,.>autoprefixer>postcss; .>postcss; .>tailwindcss>postcss; .>tailwindcss>postcss-import>postcss; .>tailwindcss>postcss-js>postcss; .>tailwindcss>postcss-load-config>postcss; .>tailwindcss>postcss-nested>postcss,https://github.com/advisories/GHSA-fxqj-rqcc-2cmp
GHSA-f38q-mgvj-vph7,moderate,protobufjs,protobufjs : Schema-derived names can shadow runtime-significant properties,7.6.1,<=7.6.2,>=7.6.3,.>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>protobufjs; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>protobufjs,https://github.com/advisories/GHSA-f38q-mgvj-vph7
GHSA-j3f2-48v5-ccww,moderate,protobufjs,protobufjs: Denial of Service via infinite loop in .proto option parsing,7.6.1,>=7.5.0 <=7.6.4,>=7.6.5,.>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>protobufjs; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>protobufjs,https://github.com/advisories/GHSA-j3f2-48v5-ccww
GHSA-4x5r-pxfx-6jf8,low,@babel/core,@babel/core: Arbitrary File Read via sourceMappingURL Comment,7.29.0,<=7.29.0,>=7.29.6,.>eslint-config-next>eslint-plugin-react-hooks>@babel/core; .>next>styled-jsx>@babel/core,https://github.com/advisories/GHSA-4x5r-pxfx-6jf8
GHSA-c2j3-45gr-mqc4,low,dompurify,DOMPurify: `CUSTOM_ELEMENT_HANDLING` bypasses `afterSanitizeElements` for allowed custom elements.,3.4.5,<=3.4.11,>=3.4.12,.>posthog-js>dompurify,https://github.com/advisories/GHSA-c2j3-45gr-mqc4
GHSA-vxr8-fq34-vvx9,low,dompurify,DOMPurify: Trusted Types policy survives `clearConfig()` and can poison later `RETURN_TRUSTED_TYPE` output,3.4.5,<3.4.9,>=3.4.9,.>posthog-js>dompurify,https://github.com/advisories/GHSA-vxr8-fq34-vvx9
GHSA-gvmj-g25r-r7wr,low,dompurify,DOMPurify: SAFE_FOR_TEMPLATES bypass - template expressions survive sanitization inside <template> content when using DOM output modes,3.4.5,>=3.0.0 <=3.4.7,>=3.4.8,.>posthog-js>dompurify,https://github.com/advisories/GHSA-gvmj-g25r-r7wr
GHSA-x4vx-rjvf-j5p4,low,dompurify,"DOMPurify: `IN_PLACE` mode trusts attacker-controlled `nodeName` on live non-form nodes, allowing script retention and XSS via attacker-supplied DOM objects",3.4.5,<=3.4.6,>=3.4.7,.>posthog-js>dompurify,https://github.com/advisories/GHSA-x4vx-rjvf-j5p4
GHSA-g7r4-m6w7-qqqr,low,esbuild,esbuild allows arbitrary file read when running the development server on Windows,0.28.0,>=0.27.3 <0.28.1,>=0.28.1,.>drizzle-kit>tsx>esbuild; .>tailwindcss>postcss-load-config>tsx>esbuild; .>tsx>esbuild,https://github.com/advisories/GHSA-g7r4-m6w7-qqqr
GHSA-w9m9-85wc-3x92,low,postcss-selector-parser,postcss-selector-parser allows denial of service through uncontrolled AST recursion,6.1.2,>=6.1.0 <6.1.3,>=6.1.3,.>tailwindcss>postcss-nested>postcss-selector-parser; .>tailwindcss>postcss-selector-parser,https://github.com/advisories/GHSA-w9m9-85wc-3x92
